Dozzzer: Sleep Sounds,Dozzzer: Sleep Sounds,Dozzzer: Schlafklänge,Dozzzer: Sons du sommeil,Dozzzer: Sonidos para dormir,Dozzzer: 睡眠的声音,Dozzzer: スリープサウンド,Dozzzer: 수면 소리,Dozzzer: Suoni del sonno,Dozzzer: Dźwięki snu,Dozzzer: Звуки сна,Dozzzer: Sons do sono,Dozzzer: Dozzzer: Sleep Sounds,Dozzzer: أصوات النوم,dozzzer：睡眠聲音
Fall asleep to music & sounds,Fall asleep to music & sounds,Schlafen mit Musik und Klang,Dormir avec de la musique,Dormir con música y sonidos,在音乐和声音中入睡,音楽と音で眠る,음악과 소리로 숙면,Dormire con musica e suoni,Zasnąć przy muzyce i dźwiękach,Сон с музыкой и звуками,Dormir com música e sons,Nukahda musiikkiin ja ääniin,تنام على الموسيقى والأصوات,睡著音樂和聲音
Tidur: Multiple Timers,Tidur: Multiple Timers,Tidur: Mehrere Timer,Tidur: Minuteurs multiples,Tidur Múltiples temporizadores,Tidur: 多种定时器,Tidur: 複数のタイマー,Tidur: 다중 타이머,Tidur: Timer multipli,Tidur: Wiele timerów,Tidur: Несколько таймеров,Tidur Temporizadores múltiplos,Tidur: Tidur: Useita ajastimia,تيدور: توقيتات متعددة,Tidur：多個計時器
"HIIT, Pomodoro and more","HIIT, Pomodoro and more","HIIT, Pomodoro und mehr","HIIT, Pomodoro et plus encore","HIIT, Pomodoro y más",HIIT、Pomodoro和更多,HIIT、ポモドーロ、その他,"HIIT, 포모도로 등","HIIT, Pomodoro e altro","HIIT, Pomodoro i inne","HIIT, Pomodoro и многое другое","HIIT, Pomodoro e mais","HIIT, Pomodoro ja muut",HIIT و Pomodoro والمزيد,Hiit，Pomodoro等
Other Apps,Other Apps,Andere Apps,Autres applications,Otras aplicaciones,其他应用程序,その他のアプリ,기타 앱,Altre applicazioni,Inne aplikacje,Другие приложения,Outras aplicações,Muut sovellukset,تطبيقات أخرى,其他應用
Try Now,Try Now,Jetzt ausprobieren,Essayer,Pruebe ahora,立即试用,今すぐ試す,지금 체험하기,Prova ora,Wypróbuj teraz,Попробовать сейчас,Experimentar agora,Kokeile nyt,حاول الآن,現在試試
Done,Done,Erledigt,Terminé,Hecho,已完成,完了,완료,Fatto,Gotowe,Выполнено,Feito,Valmis,تم,完畢
Other,Other,Andere,Autres,Otros,其他,その他,기타,Altro,Inne,Другие,Outros,Muut,آخر,其他
Unknown,Unknown,Unbekannt,Inconnu,Desconocido,未知,不明,알 수 없음,Sconosciuto,Nieznany,Неизвестный,Desconhecido,Tuntematon,مجهول,未知
End Date,End Date,Enddatum,Date de fin,Fecha final,结束日期,終了日,종료 날짜,Data di fine,Data zakończenia,Дата окончания,Data final,Loppupäivä,تاريخ الانتهاء,結束日期
"%@ days free, then %@/year Cancel anytime","%@ days free, then %@/year. Cancel anytime.","%@ Tage kostenlos, dann %@/Jahr. Jederzeit kündbar.","%@ jours gratuits, puis %@/an. Annulez à tout moment.","%@ días gratis, luego %@/año. Cancele cuando quiera.",免费%@天，然后%@/年。随时取消。,日間無料、その後%@／年。いつでもキャンセル可能です。,"일 무료, 이후 %@/년. 언제든지 취소할 수 있습니다.","%@ giorni gratuiti, poi %@/anno. Annullamento in qualsiasi momento.","%@ dni za darmo, potem %@/rok. Odwołaj w każdej chwili.","%@ дней бесплатно, затем %@/год. Отмена в любое время.","%@ dias livres, depois %@/ano. Cancelar a qualquer momento.","%@ päivää ilmaiseksi, sitten %@/vuosi Peruuta milloin tahansa.",%@ أيام مجانية ، ثم %@/سنة. إلغاء في أي وقت.,免费%@天，然后%@/年。随时取消。
%@/year,%@/year,%@/Jahr,%@/année,%@/año,%@/年,%@/年,%@/년,%@/anno,%@/rok,%@/год,%@/ano,%@/vuosi,%@/سنة,%@/年
%@/month,%@/month,%@/Monat,%@/mois,%@/mes,%@/月,%@/月,%@/월,%@/mese,%@/miesiąc,%@/месяц,%@/mês,%@/kuukausi,%@/شهر,%@/月
"%@ days free, then %@/year","%@ days free, then %@/year","%@ Tage kostenlos, dann %@/Jahr.","%@ jours gratuits, puis %@/an.","%@ días gratis, luego %@/año.",免费%@天，然后%@/年。,日間無料、その後%@／年。,"일 무료, 이후 %@/년.","%@ giorni gratuiti, poi %@/anno.","%@ dni za darmo, potem %@/rok.","%@ дней бесплатно, затем %@/год.","%@ dias livres, depois %@/ano.","%@ vapaapäiviä, sitten %@/vuosi.",%@ أيام مجانية ، ثم %@/سنة.,免费%@天，然后%@/年。
"%@ days free, then %@/month","%@ days free, then %@/month","%@ Tage kostenlos, dann %@/Monat.","%@ jours gratuits, puis %@/mois.","%@ días gratis, luego %@/mes.",免费%@天，然后%@/月。,日間無料、その後%@／月。,"일 무료, 이후 %@/월.","%@ giorni gratuiti, poi %@/mese.","%@ dni za darmo, potem %@/miesiąc.","%@ дней бесплатно, затем %@месяц.","%@ dias livres, depois %@/mês.","%@ vapaapäiviä, sitten %@/kuukausi.",%@ أيام مجانية ، ثم %@شهر,免费%@天，然后%@/月。
TestFlight subscriptions are not charged to your card.,TestFlight subscriptions are not charged to your card.,TestFlight-Abonnements werden nicht über Ihre Karte abgerechnet.,Les abonnements TestFlight ne sont pas débités de votre carte.,Las suscripciones a TestFlight no se cargan en su tarjeta.,TestFlight 订阅不会从您的银行卡中扣款。,TestFlightのサブスクリプションは、お客様のカードには請求されません。,TestFlight 구독은 카드로 청구되지 않습니다.,Gli abbonamenti TestFlight non vengono addebitati sulla carta di credito.,Subskrypcje TestFlight nie obciążają karty użytkownika.,Средства за подписку на TestFlight не списываются с вашей карты.,As subscrições do TestFlight não são debitadas no seu cartão.,TestFlight-tilauksia ei veloiteta kortiltasi.,لا يتم شحن اشتراكات TestFlight على بطاقتك.,TestFlight訂閱不收取您的卡。
Contact,Contact,Kontakt,Contact,Póngase en contacto con,联系我们,連絡先,연락처,Contatto,Kontakt,Связаться с,Contacto,Ota yhteyttä,اتصال,接觸
Email,Email,E-Mail,Email,Email,电子邮件,電子メール,이메일,Email,E-mail,Email,Email,Sähköposti,بريد إلكتروني,電子郵件
Fiery Feeds: RSS Reader,Fiery Feeds: RSS Reader,Fiery Feeds: RSS Reader,Fiery Feeds: RSS Reader,Fiery Feeds: RSS Reader,Fiery Feeds: RSS Reader,Fiery Feeds: RSS Reader,Fiery Feeds: RSS Reader,Fiery Feeds: RSS Reader,Fiery Feeds: RSS Reader,Fiery Feeds: RSS Reader,Fiery Feeds: RSS Reader,Fiery Feeds: RSS-lukija,Fiery Feeds: RSS Reader,火熱的提要：RSS讀者
A news reader for power users,A news reader for power users,Ein Newsreader für Poweruser,Un lecteur de flux avancé,Un lector de feeds avanzado,面向高级用户的新闻阅读器,パワーユーザー向けニュースリーダー,파워 유저를 위한 뉴스 리더,Un lettore di feed avanzato,Zaawansowany czytnik,Продвинутый ридер,Um leitor avançado,Power -käyttäjien uutislukija,قارئ أخبار للمستخدمين المتميزين,電力用戶的新聞閱讀器
Focused: Task Planner,Focused: Task Planner,Focused: Aufgabenplaner,Focused: Prévoir les tâches,Focused: Planificar tareas,Focused: 任务计划器,Focused: タスクプランナー,Focused: 작업 플래너,Focused: Pianifica i compiti,Focused: Planer zadań,Focused: Планировщик задач,Focused: Planeador de tarefas,Focused: Tehtäväsuunnittelija,Focused: مخطط المهام,Focused: 任务计划器
One Step at a Time,One Step at a Time,Ein Schritt nach dem Anderen,Un pas après l'autre,Paso a paso,一步一个脚印,一歩ずつ,한 번에 한 단계씩,Un passo alla volta,Jeden krok na raz,Шаг за шагом,Um passo de cada vez,Yksi askel kerrallaan,خطوة بخطوة,一步一步來
Changelog,Changelog,Änderungsliste,Changelog,Registro de cambios,更新日志,チェンジログ,변경 로그,Changelog,Changelog,Changelog,Changelog,Muutosloki,سجل التغيير,Changelog
User Guide,User Guide,Benutzerhandbuch,Guide de l'utilisateur,Guía del usuario,用户指南,ユーザーガイド,사용자 가이드,Guida per l'utente,Podręcznik użytkownika,Руководство пользователя,Guia do Usuário,Käyttöohjeet,دليل المستخدم,用戶指南
Support,Support,Unterstützung,Soutien,Ayuda,支持,サポート,지원,Supporto,Wsparcie,Поддержка,Apoio,Tuki,الدعم,支持
Review %@,Review %@,%@ bewerten,Revue %@,Revisar %@,审查 %@,レビュー,검토 %@,Recensione %@,Recenzja %@,Обзор %@,Revisão %@,Arvostelu %@,مراجعة %@,審查 ％@
Version,Version,Version,Version,Versión,版本,バージョン,버전,Versione,Wersja,Версия,Versão,Versio,الإصدار,版本
What's New in %@,What's New in %@,Was ist neu in %@,Quoi de neuf dans %@,Novedades en %@,%@ 中的新功能,の新機能,%@의 새로운 기능,Cosa c'è di nuovo in %@,Co nowego w %@,Что нового в %@,O que há de novo em %@,Mitä uutta %@:ssa on,ما الجديد في %@,%@ 中的新功能
Continue without Upgrade,Continue without Upgrade,Weiter ohne Upgrade,Continuer sans mise à niveau,Continuar sin actualizar,不升级而继续,アップグレードせずに続ける,업그레이드 없이 계속 진행,Continuare senza aggiornamento,Kontynuuj bez aktualizacji,Продолжить без обновления,Continuar sem atualização,Jatka ilman päivitystä,المتابعة بدون ترقية,ترقية Weiter ohne Upgrade
None,None,Keine,Aucun,Ninguno,无,なし,없음,Nessuno,Brak,Нет,Nenhum,Ei ole,لا يوجد,没有任何
